Country,TotalCases,TotalDeaths,Recovered,Active,Population,Continent
Afghanistan,226220,7950,33064,5166,41128772,Asia
Albania,334090,3604,9406,5409,2842318,Europe
Algeria,271910,6881,37170,13975,44903228,Africa
American Samoa,8359,34,1814,827,44295,Oceania
Andorra,48015,159,2716,3312,79843,Europe
Angola,105968,1936,97,11,35588996,Africa
Anguilla,3904,12,709464,150837,15877,North America
Antigua and Barbuda,9106,146,45771,8949,93772,North America
Argentina,10054576,130472,24987,1378,45510324,South America
Armenia,449650,8751,42829,10742,2780472,Asia
Aruba,44224,292,39235,1909,106459,North America
Australia,11608166,23129,2815,2102,26177410,Oceania
Austria,6081287,22534,70808,4206,8939617,Europe
Azerbaijan,833189,10332,291365,80208,10358078,Asia
Bahamas,38084,844,183,16,409989,North America
Bahrain,696614,1536,76543,5043,1472237,Asia
Bangladesh,2045734,29477,20202,126554,171186368,Asia
Barbados,110023,620,1487,905,281646,North America
Belarus,994037,7118,1973,397,9534956,Europe
Belgium,4817196,34339,287,19,11655923,Europe
Belize,71060,688,100786,29385,405285,North America
Benin,28036,163,23370,6048,13352864,Africa
Bermuda,18860,165,834,2367,64207,North America
Bhutan,62697,21,4502854,403395,782457,Asia
Bolivia,1208716,22404,143,0,12224114,South America
Bonaire Sint Eustatius and Saba,11922,41,15818,7610,27052,North America
Bosnia and Herzegovina,403155,16354,1542,668,3233530,Europe
Botswana,330275,2800,7050,18416,2630300,Africa
Brazil,37721749,704659,472,44,215313504,South America
British Virgin Islands,7305,64,5970,869,31332,North America
Brunei,311449,163,277,6,449002,Asia
Bulgaria,1302188,38414,20117,663,6781955,Europe
Burkina Faso,22056,396,153857,19249,22673764,Africa
Burundi,54366,15,1924,2868,12889583,Africa
Cambodia,138941,3056,1103,96,16767851,Asia
Cameroon,125090,1974,452054,14269,27914542,Africa
Canada,4712542,53260,85658,381,38454328,North America
Cape Verde,64401,415,783131,91956,593162,Africa
Cayman Islands,31472,37,475,13,68722,North America
Central African Republic,15367,113,10242,323,5579148,Africa
Chad,7698,194,52669,33694,17723312,Africa
Chile,5288823,61607,16953,2662,19603736,South America
China,99312876,121714,5440,385,1425887360,Asia
Colombia,6381470,142977,1444,517,51874028,South America
Comoros,9109,160,54909,58148,836783,Africa
Congo,25196,389,26462,5446,5970430,Africa
Cook Islands,7158,2,5355,7,17032,Oceania
Costa Rica,1238884,9428,24,8,5180836,North America
Cote d'Ivoire,88338,835,93627,22220,28160548,Africa
Croatia,1275337,18351,120511,14129,4030361,Europe
Cuba,1115103,8530,97643,704,11212198,North America
Curacao,45883,305,24995,4069,191173,North America
Cyprus,660854,1364,4894,86,896007,Europe
Czechia,4651538,42849,372,42,10493990,Europe
Democratic Republic of Congo,98863,1468,2946,832,99010216,Africa
Denmark,3417017,8824,5282,265,5882259,Europe
Djibouti,15690,189,37683,44469,1120851,Africa
Dominica,15760,74,28,2,72758,North America
Dominican Republic,667073,4384,8500,3003,11228821,North America
Ecuador,1069135,36043,103232,596601,18001002,South America
Egypt,516023,24830,8189,592,110990096,Africa
El Salvador,201807,4230,2540,971,6336393,North America
Equatorial Guinea,17130,183,6119,5074,1674916,Africa
Eritrea,10189,103,274934,38909,3684041,Africa
Estonia,602187,2902,46398,301,1326064,Europe
Eswatini,74996,1427,1347,20295,1201680,Africa
Ethiopia,501060,7574,24,0,123379928,Africa
Faeroe Islands,34658,28,86046,8133,53117,Europe
Falkland Islands,1923,,10304,623,3801,South America
Fiji,69047,885,1728,617,929769,Oceania
Finland,1486084,10265,2304,999,5540745,Europe
France,38997490,167985,7104,1526,67813000,Europe
French Guiana,98041,413,31931,48711,304568,South America
French Polynesia,78632,649,9683,25980,306292,Oceania
Gabon,48992,307,2466,984,2388997,Africa
Gambia,12626,372,6077976,867496,2705995,Africa
