time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-09-24T15:01:37.370Z,52.6072,-171.8369,109.128,5,mb,66,99,1.502,1.04,us,us7000kxtv,2023-09-24T15:23:18.395Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,7.02,7.628,0.023,600,reviewed,us,us
2023-09-24T14:30:36.773Z,35.3848,141.3354,33.073,4.6,mb,16,162,2.786,1.02,us,us7000kxtt,2023-09-24T15:25:01.040Z,"59 km SE of Hasaki, Japan",earthquake,11.9,8.119,0.244,5,reviewed,us,us
2023-09-24T12:18:54.860Z,17.9181666666667,-66.8446666666667,11.37,2.68,md,7,225,0.06546,0.09,pr,pr71425678,2023-09-24T13:56:37.680Z,"Puerto Rico region",earthquake,0.6,0.56,0.088039782187268,5,reviewed,pr,pr
2023-09-24T11:01:55.994Z,-18.0779,-178.3313,614.919,4.4,mb,54,40,4.152,0.78,us,us7000kxtc,2023-09-24T11:17:38.040Z,"248 km E of Levuka, Fiji",earthquake,10.38,8.012,0.038,200,reviewed,us,us
2023-09-24T09:36:08.061Z,-4.4186,153.4785,114.435,4.7,mb,57,118,12.178,0.45,us,us7000kxt2,2023-09-24T09:52:23.040Z,"134 km E of Kokopo, Papua New Guinea",earthquake,10.41,7.006,0.061,80,reviewed,us,us
2023-09-24T09:21:41.111Z,13.7868,-90.6787,89.327,4.2,mb,51,150,0.881,0.53,us,us7000kxt1,2023-09-24T09:34:28.040Z,"",earthquake,8.38,9.543,0.06,79,reviewed,us,us
2023-09-24T08:50:17.845Z,32.686,-100.691,6.0159,2.9,ml(texnet),13,82,0.1,0.2,tx,tx2023ssri,2023-09-24T09:07:14.184Z,"8 km NE of Hermleigh, Texas",earthquake,1.292914036,2.036013163,0.1,9,reviewed,tx,tx
2023-09-24T08:40:53.631Z,57.6684,-149.9204,40.1,2.8,ml,,,,0.93,ak,ak023c9phtgz,2023-09-24T08:43:57.509Z,"141 km E of Chiniak, Alaska",earthquake,,8.6,,,automatic,ak,ak
2023-09-24T08:13:46.143Z,-17.4583,-178.8754,534.162,4.5,mb,33,92,4.787,0.53,us,us7000kxsk,2023-09-24T08:51:18.040Z,"",earthquake,15.97,12.383,0.102,31,reviewed,us,us
2023-09-24T07:13:14.839Z,31.626,-104.516,5.0261,3.2,ml(texnet),29,148,0,0.3,tx,tx2023ssod,2023-09-24T07:38:38.692Z,"62 km SSW of Whites City, New Mexico",earthquake,1.9481208,1.407665056,0.2,19,reviewed,tx,tx
2023-09-24T07:11:42.633Z,31.678,-104.52,5.4889,2.7,ml(texnet),29,146,0,0.3,tx,tx2023ssob,2023-09-24T07:38:01.040Z,"56 km SSW of Whites City, New Mexico",earthquake,1.063387978,0.5545541541,0.2,19,reviewed,tx,tx
2023-09-24T05:55:40.049Z,-25.3077,179.92,475.539,4.4,mb,55,71,4.383,0.99,us,us7000kxry,2023-09-24T06:20:05.040Z,"south of the Fiji Islands",earthquake,12.15,6.902,0.047,130,reviewed,us,us
2023-09-24T04:00:07.709Z,41.8114,45.0495,10,4,mb,26,110,0.311,0.93,us,us7000kxrj,2023-09-24T13:00:43.963Z,"3 km NE of Mart’q’opi, Georgia",earthquake,4.25,1.935,0.258,4,reviewed,us,us
2023-09-24T03:39:10.140Z,19.2625,-67.3535,43,3.56,md,15,295,0.8311,0.39,pr,pr2023267000,2023-09-24T04:10:20.408Z,"89 km NNW of San Antonio, Puerto Rico",earthquake,2.54,10.32,0.05,12,reviewed,pr,pr
2023-09-24T02:37:34.643Z,56.96,-156.17,0.5,2.6,ml,,,,0.52,ak,ak023c9lwj88,2023-09-24T02:46:29.040Z,"96 km SE of Ugashik, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-09-24T02:28:51.163Z,31.0312,141.9226,10,4.5,mb,62,72,2.743,0.82,us,us7000kxrb,2023-09-24T03:12:44.040Z,"Izu Islands, Japan region",earthquake,9.96,1.878,0.066,68,reviewed,us,us
2023-09-24T02:12:28.776Z,33.9848,26.0951,10,4.4,mb,64,96,1.636,0.9,us,us7000kxr4,2023-09-24T02:41:34.040Z,"118 km SSE of Ierápetra, Greece",earthquake,7.88,1.9,0.086,39,reviewed,us,us
2023-09-24T02:07:25.788Z,31.0204,141.8753,10,4.5,mb,31,136,5.928,0.65,us,us7000kxr5,2023-09-24T02:26:52.040Z,"Izu Islands, Japan region",earthquake,12.91,1.92,0.127,18,reviewed,us,us
2023-09-24T01:27:34.340Z,1.9017,96.907,29.945,5.1,mb,63,113,2.163,0.62,us,us7000kxr1,2023-09-24T01:45:42.040Z,"Nias region, Indonesia",earthquake,9.37,5.398,0.06,92,reviewed,us,us
2023-09-24T01:24:27.130Z,18.8313333333333,-67.172,8.68,3.25,md,22,262,0.3665,0.17,pr,pr71425638,2023-09-24T01:55:18.550Z,"38 km NNW of San Antonio, Puerto Rico",earthquake,0.53,0.62,0.0268844201775413,8,reviewed,pr,pr
2023-09-24T00:48:33.060Z,37.4273338,-113.1363297,11.83,2.57,ml,25,57,0.07164,0.22,uu,uu60550762,2023-09-24T01:02:37.730Z,"13 km SSE of Kanarraville, Utah",earthquake,0.5,0.71,0.26,19,reviewed,uu,uu
2023-09-23T23:31:14.200Z,39.4576683,-121.9603348,4.85,2.86,md,6,188,0.3028,0.1,nc,nc73940986,2023-09-24T00:06:34.334Z,"21 km ESE of Willows, CA",earthquake,2.5,10.9,0.28,4,automatic,nc,nc
2023-09-23T23:22:07.824Z,56.9661,-156.1887,8.8,2.5,ml,,,,0.45,ak,ak023c8as0mm,2023-09-23T23:33:25.040Z,"95 km SE of Ugashik, Alaska",earthquake,,1.1,,,automatic,ak,ak
2023-09-23T23:07:54.910Z,65.1549,-150.2373,16.7,2.6,ml,,,,0.32,ak,ak023c8aowir,2023-09-23T23:22:51.040Z,"northern Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-09-23T22:02:35.170Z,37.4321671,-121.7698364,10.36,2.67,md,76,32,0.1034,0.07,nc,nc73940946,2023-09-24T02:02:32.115Z,"9 km NE of Alum Rock, CA",earthquake,0.13,0.48,0.14,93,automatic,nc,nc
2023-09-23T21:52:40.117Z,55.5876,-135.2106,0,3.4,ml,,,,0.72,ak,ak023c89rne3,2023-09-23T23:20:39.999Z,"",earthquake,,0.5,,,automatic,ak,ak
2023-09-23T21:50:19.551Z,32.7205,-100.658,5,2.6,mb_lg,38,31,0.418,0.88,us,us7000kxq9,2023-09-23T22:21:31.040Z,"",earthquake,1.91,1.979,0.081,41,reviewed,us,us
2023-09-23T20:38:14.570Z,54.978,-160.4082,42.23,3.8,ml,27,203,0.374,0.45,us,us7000kxpw,2023-09-24T01:02:29.747Z,"40 km S of Sand Point, Alaska",earthquake,4.64,12.688,0.071,26,reviewed,us,us
2023-09-23T20:16:32.426Z,-21.2,-68.749,124.487,4.5,mb,25,59,0.707,0.74,us,us7000kxpq,2023-09-23T20:25:17.040Z,"51 km W of Ollagüe, Chile",earthquake,5.56,8.483,0.192,8,reviewed,us,us
2023-09-23T18:16:13.950Z,19.4843333333333,-65.489,87.1,3.38,md,3,320,1.234,0.37,pr,pr71425613,2023-09-23T19:50:15.510Z,"",earthquake,13.92,23.99,0.122549952904732,2,reviewed,pr,pr
2023-09-23T17:01:36.223Z,42.8536,17.5603,14.914,4,mb,30,30,1.324,0.7,us,us7000kxnx,2023-09-24T08:53:47.335Z,"8 km SSW of Neum, Bosnia and Herzegovina",earthquake,4.81,1.973,0.299,3,reviewed,us,us
2023-09-23T16:36:41.177Z,31.498,-103.581,4.8205,2.7,ml(texnet),20,71,0.1,0.3,tx,tx2023srle,2023-09-23T22:49:49.500Z,"11 km NW of Pecos, Texas",earthquake,1.197062793,1.247607921,0.3,12,reviewed,tx,tx
2023-09-23T15:57:47.780Z,37.4230003,-121.2986679,1.81,3.33,ml,81,162,0.03956,0.17,nc,nc73940786,2023-09-24T02:00:19.460Z,"16 km WSW of Patterson, CA",earthquake,0.33,0.85,0.39,41,automatic,nc,nc
2023-09-23T15:51:21.437Z,-22.3117,170.4043,10,5.1,mww,44,117,2.752,1.06,us,us7000kxnj,2023-09-23T16:07:26.040Z,"southeast of the Loyalty Islands",earthquake,9.18,1.879,0.098,10,reviewed,us,us
2023-09-23T15:01:14.850Z,35.6603,140.784,51.541,4.4,mb,26,171,2.263,0.67,us,us7000kxnb,2023-09-23T21:11:53.990Z,"near the east coast of Honshu, Japan",earthquake,3.32,9.428,0.156,12,reviewed,us,us
2023-09-23T14:40:15.920Z,17.9423333333333,-66.9463333333333,10.32,2.84,md,4,218,0.097,0.07,pr,pr71425598,2023-09-23T14:59:33.980Z,"5 km SW of Guánica, Puerto Rico",earthquake,1.08,1.88,0.0556874450236085,3,reviewed,pr,pr
2023-09-23T14:37:18.265Z,56.2465,-156.5515,35.1,2.8,ml,,,,0.51,ak,ak023c85icsx,2023-09-23T15:48:04.040Z,"114 km E of Chignik, Alaska",earthquake,,24.8,,,automatic,ak,ak
2023-09-23T14:24:34.344Z,17.1564,96.0875,10,4.8,mb,54,56,3.012,0.87,us,us7000kxn3,2023-09-24T13:44:52.369Z,"39 km N of Yangon, Myanmar",earthquake,3.39,1.869,0.072,59,reviewed,us,us
